name,detail_url,telefon,handy,fax,email,website,address,street,postal_code,city,district,categories
Firma Albrecht Installations GmbH,"https://www.hwk-muenchen.de/betriebe/albrecht-installations-gmbh-74,0,bdbdetail.html?id=184329",089 23024540,,089 230245499,,,"Albrecht Installations GmbH, Welserstraße 1, 81373 München, Landkreis München, kreisfreie Stadt",Welserstraße 1,81373,München,"Landkreis München, kreisfreie Stadt","Installateur und Heizungsbauer; Fliesen-, Platten- und Mosaikleger"
Firma Dr. Sasse Gebäudedienste GmbH,"https://www.hwk-muenchen.de/betriebe/dr-sasse-gebaeudedienste-gmbh-74,0,bdbdetail.html?id=73184",,,089 294494,zentrale@sasse.de,,"Dr. Sasse Gebäudedienste GmbH, Am Westpark  1, 81373 München, Landkreis München, kreisfreie Stadt",Dr. Sasse Gebäudedienste GmbH,81373,München,"Landkreis München, kreisfreie Stadt",Gebäudereiniger
Firma REWE Markt GmbH Zweigniederlassung Eching/Mü.,"https://www.hwk-muenchen.de/betriebe/rewe-markt-gmbh-zweigniederlassung-eching-mue-74,0,bdbdetail.html?id=73270",,,,,,"REWE Markt GmbH Zweigniederlassung Eching/Mü., Hansastr. 134, 81373 München, Landkreis München, kreisfreie Stadt",Hansastr. 134,81373,München,"Landkreis München, kreisfreie Stadt",Metzger
Firma Elektro Grau GmbH,"https://www.hwk-muenchen.de/betriebe/elektro-grau-gmbh-74,0,bdbdetail.html?id=166751",089 7254247,,,,,"Elektro Grau GmbH, Baumgartnerstraße 11, 81373 München, Landkreis München, kreisfreie Stadt",Baumgartnerstraße 11,81373,München,"Landkreis München, kreisfreie Stadt",Elektrotechniker
"Firma Neumeier, Hegmann & Co. Fernsehdienst Antennenbau GmbH","https://www.hwk-muenchen.de/betriebe/neumeier-hegmann-co-fernsehdienst-antennenbau-gmbh-74,0,bdbdetail.html?id=26553",+498974327590,,+49897439393,hn@Neumeier-Hegmann.de,http://www.neumeier-hegmann.de,"Neumeier, Hegmann & Co. Fernsehdienst Antennenbau GmbH, Hansastraße 49-51, 81373 München, Landkreis München, kreisfreie Stadt",Hansastraße 49-51,81373,München,"Landkreis München, kreisfreie Stadt",Informationstechniker; Elektrotechniker
Firma Vukmirovic-Ausbau GmbH,"https://www.hwk-muenchen.de/betriebe/vukmirovic-ausbau-gmbh-74,0,bdbdetail.html?id=339890",089 72655667,0160 7267874,,info@vukmirovic-ausbau.de,http://www.vukmirovic-ausbau.de,"Vukmirovic-Ausbau GmbH, Baumgartnerstraße 9, 81373 München, Landkreis München, kreisfreie Stadt",Baumgartnerstraße 9,81373,München,"Landkreis München, kreisfreie Stadt","Einbau von genormten Baufertigteilen (z.B. Fenster, Türen, Zargen, Regale); Raumausstatter"
Firma Auto Münch GmbH,"https://www.hwk-muenchen.de/betriebe/auto-muench-gmbh-74,0,bdbdetail.html?id=36954",,,,,,"Auto Münch GmbH, Hansastraße 41, 81373 München, Landkreis München, kreisfreie Stadt",Hansastraße 41,81373,München,"Landkreis München, kreisfreie Stadt",Kraftfahrzeugtechniker; Karosserie- und Fahrzeugbauer
Firma Trollmann GmbH Messe-und Aus- Stellungsbau,"https://www.hwk-muenchen.de/betriebe/trollmann-gmbh-messe-und-aus-stellungsbau-74,0,bdbdetail.html?id=102661",,,,,,"Trollmann GmbH Messe-und Aus- Stellungsbau, Hansastr. 144, 81373 München, Landkreis München, kreisfreie Stadt",Hansastr. 144,81373,München,"Landkreis München, kreisfreie Stadt",Zimmerer; Schreiner
Firma Bäckerei Zöttl GmbH,"https://www.hwk-muenchen.de/betriebe/baeckerei-zoettl-gmbh-74,0,bdbdetail.html?id=73470",089 769009-0,,089 769009-90,,,"Bäckerei Zöttl GmbH, Adi-Maislinger-Str. 12, 81373 München, Landkreis München, kreisfreie Stadt",Adi-Maislinger-Str. 12,81373,München,"Landkreis München, kreisfreie Stadt",Bäcker; Konditoren
Firma First Stop Reifen Auto Service GmbH,"https://www.hwk-muenchen.de/betriebe/first-stop-reifen-auto-service-gmbh-74,0,bdbdetail.html?id=165974",089 7601052,,089 7696393,,,"First Stop Reifen Auto Service GmbH, Hansastr. 183, 81373 München, Landkreis München, kreisfreie Stadt",Hansastr. 183,81373,München,"Landkreis München, kreisfreie Stadt",Kraftfahrzeugtechniker
